Country,Books,Book1,Title1,Author1,Book2,Title2,Author2,Book3,Title3,Author3
Afghanistan,Atiq Rahimi A Thousand Rooms of Dream and Fear; The Patience Stone / Khaled Hosseini The Kite Runner; A Thousand Splendid Suns / Anna Badkhen Waiting for the Taliban / Emmanuel Guibert The Photographer / (as told to) Batya Swift Yasgur Behind the Burqa,Atiq Rahimi A Thousand Rooms of Dream and Fear,,,Khaled Hosseini The Kite Runner; A Thousand Splendid Suns,,,Anna Badkhen Waiting for the Taliban,,
Albania,Ismail Kadare The Palace of Dreams; Broken April / Fatos Kongoli The Loser / Elvira Dones Sworn Virgin,Ismail Kadare The Palace of Dreams; Broken April,,,Fatos Kongoli The Loser,,,Elvira Dones Sworn Virgi,,
Algeria,Leïla Marouane The Sexual Life of an Islamist in Paris / Anouar Benmalek Abduction / Assia Djebar So Vast the Prison / Boualem Sansal An Unfinished Business; The German Mujahid / Al-Tahir Wattar The Earthquake / Anouar Benmalek The Lovers of Algeria / Yasmina Khadra The Attack,Leïla Marouane The Sexual Life of an Islamist in Paris,,,Anouar Benmalek Abduction,,,Assia Djebar So Vast the Prison,,
Andorra,Albert Salvadó The Teacher of Cheops,Albert Salvadó The Teacher of Cheop,,,None,,,None,,
Angola,José Eduardo Agualusa My Father’s Wives; Creole / Pepetela The Return of the Water Spirit / Ondjaki Good Morning Comrades; The Whistler / Jose Eduardo Agualusa The Book of Chameleons / Manuel Rui Monteiro Quem me dera ser Onda (translation sought) / José Luandino Vieira Our Musseque,José Eduardo Agualusa My Father’s Wives; Creole,,,Pepetela The Return of the Water Spirit,,,Ondjaki Good Morning Comrades; The Whistler,,
Antarctica,None,Richard Byrd Alone,,,None,,,None,,
Antigua And Barbuda,and Barbuda Jamaica Kincaid Lucy; Annie John / Marie-Elena John Unburnable / Althea Prince Loving this Man; Ladies of the Night / Gisele Isaac Considering Venus / Joanne C. Hillhouse et al. Pepperpot (pan-Caribbean anthology),Jamaica Kincaid Lucy,,,Marie-Elena John Unburnable,,,Althea Prince Loving this Man; Ladies of the Night,,
Argentina,Martin Kohan Seconds Out / César Aira How I Became a Nun; An Episode in the Life of a Landscape Painter / Ernesto Sábato The Tunnel / Alicia Steimberg Musicians and Watchmakers / Jorges Luis Borges / Tomás Eloy Martínez Purgatory (trans. Frank Wynne) / Matias Nespolo 7 Ways to Kill a Cat (trans. Frank Wynne) / Carlos Gamerro The Islands / Iosi Havilio Opendoor / Luisa Valenzuela / Ricardo Piglia / Guillermo Martínez / Manuel Puig / Adolfo Bioy Casares The Invention of Morel / Julio Cortázar Hopscotch / Samanta Schweblin Fever Dream,Martin Kohan Seconds Out,,,César Aira How I Became a Nun; An Episode in the Life of a Landscape Painter,,,Ernesto Sábato The Tunnel,,
Armenia,Armand Inezian Bringing Ararat / Grigoris Balakian Armenian Golgotha,Armand Inezian Bringing Ararat,,,Grigoris Balakian Armenian Golgoth,,,None,,
Australia,Tim Winton Cloudstreet / Helen Garner The Children’s Bach / Markus Zusak The Book Thief / Nam Le The Boat / Andrew McGahan The White Earth / Elizabeth Jolley / Alex Miller Lovesong / Jill Ker Conway The Road from Coorain / Gail Jones A Guide to Berlin,Tim Winton Cloudstreet,,,Helen Garner The Children’s Bach,,,Markus Zusak The Book Thief,,
Austria,Elias Canetti The Torch in my Ear / Anna Kim Frozen Time / Thomas Bernhard Extinction / Stefan Zweig / Julya Rabinovich Splithead / Robert Seethaler A Whole Life,Elias Canetti The Torch in my Ear,,,Anna Kim Frozen Time,,,Thomas Bernhard Extinction,,
Azerbaijan,Gioulzar Akhmedova Magnolia / Maksud Ibragimbekov / Anar Razayev / ? Ali and Nino,Gioulzar Akhmedova Magnolia,,,Maksud Ibragimbekov,,,Anar Razayev,,
Bahamas,Bahamas Ian Strachan God’s Angry Babies / Garth Buckner Thine is the Kingdom,Bahamas Ian Strachan God’s Angry Babies,,,Garth Buckner Thine is the Kingdo,,,None,,
Bahrain,Ali Al Saeed Quixotiq / Sarah A Al Sahfei Yummah,Ali Al Saeed Quixotiq,,,Sarah A Al Sahfei Yumma,,,None,,
Bangladesh,Taslima Nasrin Shame / Tahmima Anam The Good Muslim / Humayun Ahmed To the Woods Dark and Deep / Ekhlasuddin Ahmed When the Evening Darkens / Shawkat Osman The Laughter of a Slave / Anwar Pasha Rifles Bread Women,Taslima Nasrin Shame,,,Tahmima Anam The Good Muslim,,,Humayun Ahmed To the Woods Dark and Deep,,
Barbados,Karen Lord Redemption in Indigo / Agymah Kamau Flickering Shadows; Pictures of a Dying Man / Glenville Lovell Fire in the Canes; Song of Night; Too Beautiful to Die,Karen Lord Redemption in Indigo,,,Agymah Kamau Flickering Shadows; Pictures of a Dying Man,,,Glenville Lovell Fire in the Canes; Song of Night; Too Beautiful to Di,,
Belarus,Artur Klinov The Sun City of Dreams / Uladzimir Karatkievich King Stakh’s Wild Hunt / Vasil Bykau Sotnikau or The Ordeal / Viktar Martsinovich Paranoia / Svetlana Alexievich Voices from Chernobyl / Uladzimir Karatkevich The Spikes Under Your Sickle / Ivan Melezh People of the Swamp / Svetlana Alexievich Chernobyl Prayer: A Chronicle of the Future,Artur Klinov The Sun City of Dreams,,,Uladzimir Karatkievich King Stakh’s Wild Hunt,,,Vasil Bykau Sotnikau or The Ordeal,,
Belgium,Hergé The Adventures of Tintin / Peter Terrin The Guard / Stefan Brijs The Angel Maker / Francois Emmanuel Invitation to a Voyage / Dimitri Verhulst The Misfortunates / Louis Paul Boon My Little War / Paul Verhaeghen Omega Minor / Amélie Nothomb / Saskia De Coster We and Me / Annelies Verbeke Thirty Days,Hergé The Adventures of Tintin,,,Peter Terrin The Guard,,,Stefan Brijs The Angel Maker,,
Belize,"Zoila Ellis On Heroes, Lizards and Passion","Zoila Ellis On Heroes, Lizards and Passio",,,None,,,None,,
Benin,Gisèle Hountondji / Jean Pliya / Florent Couao-Zotti / Adelaide Fassinou / Rashidah Ismaili Abubakr Stories We Tell Each Other,Stories We Tell Each Other Rashidah Ismaili,,,Jean Pliya,,,Florent Couao-Zotti,,
Bhutan,Kunzang Choden The Circle of Karma / Karma Ura The Hero with a Thousand Eyes / T Sangay Wangchuk Seeing with the Third Eye / Dorji Penjore Bomena / Pema Euden Coming Home / Sonam Kinga,Kunzang Choden The Circle of Karma,,,Karma Ura The Hero with a Thousand Eyes,,,T Sangay Wangchuk Seeing with the Third Eye,,
Bolivia,José Edmundo Paz-Soldán / Víctor Montoya / Renato Prada Oropeza / Giovanna Rivero Sweet Blood / Juan de Recacoechea American Visa / Liliana Colanzi Our Dead World,José Edmundo Paz-Soldán,,,Víctor Montoya,,,Renato Prada Oropeza,,
Bosnia And Herzegovina,Zlata Filipovic Zlata’s Diary / Saša Staniši? How the Soldier Repairs the Gramophone / Aleksandar Hemon The Lazarus Project / Ivo Andric The Bridge on the Drina / Meša Selimovi? Death and the Dervish; Fortress,Zlata Filipovic Zlata’s Diary,,,Saša Staniši? How the Soldier Repairs the Gramophone,,,Aleksandar Hemon The Lazarus Project,,
Botswana,"Angus, Maisie and Travers McNeice The Lion Children / Bessie Head A Question of Power / Unity Dow","Angus, Maisie and Travers McNeice The Lion Children",,,Bessie Head A Question of Power,,,Unity Do,,
Brazil,João Ubaldo Ribeiro House of the Fortunate Buddhas; An Invincible Memory / Clarice Lispector / Rubem Fonseca / Paulo Freire / Clarice Lispector Agua Viva / Jorge Amado Jubiabá; The Double Death of Quincas Water-Bray / João Guimarães Rosa / Paulo Coelho / Machado de Assis Dom Casmurro / Chico Buarque Budapest / Lygia Fagundes Telles The Marble Dance / Zulmira Ribeiro Tavares Family Heirlooms,João Ubaldo Ribeiro House of the Fortunate Buddhas,,,Clarice Lispector,,,Rubem Fonseca,,
Brunei Darussalam,Eva Maria Kershaw Dusun Folktales: A Collection of Eighty-eight Folktales in the Dusun Language of Brunei with English Translations / Christopher Sun (aka Sun Tze Yun) Four Kings / Amir Falique The Forlorn Adventure,Eva Maria Kershaw Dusun Folktales: A Collection of Eighty-eight Folktales in the Dusun Language of Brunei with English Translations,,,Christopher Sun (aka Sun Tze Yun) Four Kings,,,Amir Falique The Forlorn Adventur,,
Bulgaria,Elias Canetti The Tongue Set Free / Kalin Terziyski Is there Anybody to Love You? / Georgi Gospodinov Natural Novel / Kapka Kassabova Street Without a Name / Anton Donchev Time of Parting / Milen Ruskov Thrown into Nature / Emiliyan Stanev The Peach Thief / Dimitar Dimov Doomed Souls,Elias Canetti The Tongue Set Free,,,Kalin Terziyski Is there Anybody to Love You?,,,Georgi Gospodinov Natural Novel,,
Burkina Faso,Sarah Bouyain / Frédéric Pacéré Titinga / Nobert Zongo The Parachute Drop,Sarah Bouyain,,,Frédéric Pacéré Titinga,,,Nobert Zongo The Parachute Dro,,
Burundi,"Marie-Therese Toyi Weep Not, Refugee / Roland Rugero Baho!","Marie-Therese Toyi Weep Not, Refugee",,,Roland Rugero Baho,,,None,,
Cambodia,U Sam Oeur Crossing Three Wildernesses / Alice Pung Unpolished Gem / Vaddey Ratner In the Shadow of the Banyan / Loung Ung / Haing S Ngor / Bree Lafreniere and Daran Kravanh Music Through Dark,U Sam Oeur Crossing Three Wildernesses,,,Alice Pung Unpolished Gem,,,Vaddey Ratner In the Shadow of the Banyan,,
Cameroon,Mongo Beti La Pauvre Christ de Bomba (The Poor Christ of Bomba); Mission to Kala / Beatrice Fri Bime Mystique: a collection of lake myths,Mongo Beti Mission to Kala,,,Beatrice Fri Bime Mystique: a collection of lake myth,,,None,,
